Date,Open,High,Low,Close,Volume,Adj Close
2012-02-24,4.33,4.47,4.27,4.45,2853000,4.33
2012-02-23,4.30,4.45,4.10,4.32,10780100,4.20
2012-02-22,4.48,4.48,4.35,4.35,1705600,4.23
2012-02-21,4.52,4.55,4.42,4.49,1357500,4.37
2012-02-20,4.39,4.52,4.37,4.51,1797100,4.39
2012-02-17,4.45,4.48,4.32,4.34,2647300,4.22
2012-02-16,4.28,4.41,4.20,4.40,4659500,4.27
2012-02-15,4.40,4.43,4.28,4.30,2747300,4.18
2012-02-14,4.57,4.57,4.40,4.41,3721300,4.29
2012-02-13,4.70,4.71,4.53,4.57,3354500,4.44
2012-02-10,4.73,4.76,4.59,4.66,4299600,4.53
2012-02-09,4.87,4.90,4.73,4.76,2487400,4.63
2012-02-08,4.89,4.98,4.84,4.85,1855400,4.72
2012-02-07,4.96,5.03,4.84,4.88,2919000,4.75
2012-02-06,4.85,4.96,4.76,4.94,3713200,4.80
2012-02-03,4.62,4.88,4.59,4.88,4294800,4.74
2012-02-02,4.52,4.66,4.48,4.62,2266500,4.49
2012-02-01,4.49,4.54,4.46,4.48,2532800,4.36
2012-01-31,4.43,4.49,4.38,4.47,1532800,4.34
2012-01-30,4.39,4.43,4.33,4.38,2691700,4.25
2012-01-27,4.41,4.50,4.39,4.45,1305200,4.32
2012-01-26,4.40,4.49,4.37,4.42,1490500,4.30
2012-01-25,4.50,4.52,4.34,4.39,1385700,4.27
2012-01-24,4.57,4.62,4.37,4.49,1287600,4.36
2012-01-23,4.50,4.60,4.48,4.58,1005600,4.45
2012-01-20,4.59,4.59,4.49,4.51,1464800,4.39
2012-01-19,4.48,4.59,4.45,4.59,1458200,4.46
2012-01-18,4.44,4.49,4.38,4.49,1900500,4.36
2012-01-17,4.52,4.53,4.39,4.41,1831000,4.29
2012-01-16,4.32,4.48,4.24,4.47,1557500,4.35
2012-01-13,4.35,4.47,4.31,4.36,1893800,4.24
2012-01-12,4.20,4.36,4.20,4.33,2483800,4.21
2012-01-11,4.08,4.19,4.08,4.17,1641000,4.06
2012-01-10,4.06,4.14,4.04,4.11,1957100,3.99
2012-01-09,4.11,4.16,3.98,4.00,2351800,3.89
2012-01-06,4.22,4.29,4.09,4.10,2136900,3.99
2012-01-05,4.51,4.55,4.15,4.21,3320300,4.10
2012-01-04,4.60,4.63,4.49,4.51,2894700,4.39
2012-01-03,4.69,4.70,4.49,4.62,3966400,4.49
2012-01-02,4.43,4.66,4.42,4.66,859500,4.53
